,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x440ae3950f93afe6983fa77a9076289bab2a667912651c9c39bc3d8fae9998e4,4868950,1515328215,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,100.000000000000000000,NULL,0x,0
1,0x9ca8180dc603eaa4004c99bb82668f9ea13fd0ae7e2e8a5164f42e8291d189f1,4868952,1515328259,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa828f0733a7bc7bf3b45f5bb03d80c600481add2,0.578319660000000000,NULL,0x,0
2,0x4660db0af081907341fa11434d2097a0f717fa2509c5bddc8622bbb4ea3a99d3,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa0c84db97a8c428e5877ff1a22129148d26468cf,0.166788580000000000,NULL,0x,0
3,0xf95da15ea05140c194524de7f6b1c114842792b1402062db6e8b48d421e4e562,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x5e9353e6233098d6a0f5ae34018d29eb3ecdf05f,2.090000000000000000,NULL,0x,0
4,0xff991ed15f3e49599e9d7f655d0b71fc1c361b5fc5b38eaf9beb3bde6001f1c6,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x9a605ed1dcfe77d7a6715a92bc460af4c97e4975,0.168757950000000000,NULL,0x,0
5,0x916077835efb2147a98c98645a7f6fc39d5bfd8bbce67211be7206be5e3b0f4d,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x3eb0b2e715f055cfe9fb3fae185b328fff155ad5,3.990000000000000000,NULL,0x,0
6,0x847d9cddf88d35da5a67c4c723c4aaf575c6f3d5efa90ddebb4ff003bdd02551,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x658fab4ceaa2eda62198366fe3b5f0cd9190b519,0.330000000000000000,NULL,0x,0
7,0x7557054b64caa489506b1bee802d6a9b4b495d8f4fdbbe568b126e9546aa7396,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xb522f17864b3be918c8f74d5970ccedb67a03be9,14.881343960000000000,NULL,0x,0
8,0x03aa82032d00ae9495c46134fd8317ea85f3759be24bdad93a7b6498004c9718,4868954,1515328283,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xd6e628823296a7deabf7387f420bbc6d6c50f3b1,4.485500000000000000,NULL,0x,0
9,0xf06967e0fa71e05dfeee616466cb2f7ca0e01b05602adc7e50cae4b14968baca,4868959,1515328413,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xd04e5d35cba83c69ca7e3531396e506abd14445f,4.369735150000000000,NULL,0x,0
21,0xc883f619cf4243a025fbd4d0e7dea6445e6b30ab8f88306ad472db4abbd0e14e,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x270461b40dbdf318a73209aa60e88478d3bfb00e,2.100000000000000000,NULL,0x,0
20,0xbcbeb7f9c8843293445a2464686cea8c3ff9b7c4e189804c502439651d806dba,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x9cbbba86246ca733c9a5b484e319312cb8794d84,0.090000000000000000,NULL,0x,0
19,0x7ae47476eab46ea02478193977b127ff652fc9dd912bd6dff2bb857b0bde97ec,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xcc36fdcdff3f1a719bb350f3517faa779f2ea6a1,1.988000000000000000,NULL,0x,0
18,0x24706debd99996ee9b0f1c20a9532bc4cb1f9b0e1e610bd5a98d0dcfd372879d,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x7cad50bb19e4ce006e326d8f723a0e939eed42de,1.000000000000000000,NULL,0x,0
17,0x0539d05fdc66e1e8d3503d7cdfc5a18d0458a9dfc9aaa00b4744f65ba8d4b4fb,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xdc947195e13145039091fa48ef07869b9bebabe9,2.190000000000000000,NULL,0x,0
16,0xb1f6b65efb4e76c37075a82f6fdd2a8d423b5ff30acc370b576fbe5f409e8b38,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xb1a88f39d5e643191c80053abd3fa36f74e3923f,0.569024910000000000,NULL,0x,0
14,0xa703aed587bc758230273327e810c8a7efda13ebb7a69da01e00ea12ef2f26a8,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x7e5b04e13f9b636b5f149d7da1b649147374cc87,2.000000000000000000,NULL,0x,0
13,0x279dd1056151ce83135569183e7ab4d0f8fe6ded387921f04f5e2c20f1e2c8dd,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xde4be687633c4a052e1a48f88b767c3923515d58,0.992703850000000000,NULL,0x,0
12,0x1be64a4ea90fa717b2646972d7a0b4f74ac318a7f2aec4a040c3afc0993a79e5,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x0208b6e9e32b745e4ea8d59cf4836b40b9627524,0.418498410000000000,NULL,0x,0
11,0x18127624aa8c6f0e78685d3d7e5873c6b34f6aa0bdf98d33bc43c76861a13a51,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa32f3f8dbc078367d8f61b9a356daa7d07a42c66,0.122588750000000000,NULL,0x,0
10,0xfdc5bfcd5d44a35a37d8df92dc620157f11b0fc72c367ec351073f49917a5417,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xadf60cdbd5f2e33895d641c63c1bc6e245327280,4.652330070000000000,NULL,0x,0
15,0x48c059c560eae848b14ff3428ccf17e74b5b151ee7b76bcee210bf7751aa1e08,4868960,1515328431,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x5a24b7567a2880e2fd9ac5725c756fae47a83cc7,0.467720470000000000,NULL,0x,0
22,0xb6eca1a41c4683e8c7e661f6c70d6f26985d31933efcd7ff3ac0b9ecad3735a1,4868972,1515328612,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xbf294e8d4e3c3cce5ef6408859b2cead02b41284,0.511462650000000000,NULL,0x,0
24,0xff0ccca7b557ae5621a9a293a1a5bb486618e8f4dc544561697c97fa7454281d,4868982,1515328766,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xb6b18060b217e40136f7c273857e679fe4970eb8,0.603043720000000000,NULL,0x,0
23,0xcec88db85c2ab95eadf2050374c00253032cc7f8c2fd7d68689feae7f04f5525,4868982,1515328766,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x9ac84f46a75742cfd8f5735794782b2de56982e0,1.190000000000000000,NULL,0x,0
25,0x2671dedd5a02157db8fef50d80b6149d17903d239620c7976ede37cbf81fa59a,4868982,1515328766,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xcf78d799a8809557b4bc0777339d86344ca5beed,0.437252850000000000,NULL,0x,0
30,0x40486e0ccc9cae989c80976656472279adc6ab3817ad7a1970ea46ec25a7141d,4868983,1515328796,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xfd09b1704b196fa9dc052b171f98579ae569cc40,2.000000000000000000,NULL,0x,0
29,0x6654607ba600ce7792a4995967538c8fa99e45ca8cb41f239fff619f6d536667,4868983,1515328796,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x6b7347c50edc395a442c433d1edc06c61a81312f,20.191610560000000000,NULL,0x,0
31,0x0049356ddf2bb5612a8edaa6c90867276f6ee628a05f462d15fbf9301026af49,4868983,1515328796,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x0aa08410227f9bf5c5321a4d40ff43e43f17edf6,20.000000000000000000,NULL,0x,0
